Kind,Index,Value
0,0,1.6589532086987824
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0.22126961416081523
1,7,0.05751265441158071
1,8,-0.06257197553069116
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,-0.079246610243525681
1,16,-0.24832869592247458
1,17,0.13871107176446701
1,18,0
1,19,0
1,20,0
2,0,-0.022644770083707508
2,1,-0.010726470039650927
2,2,0.0011918300044056586
2,3,-0.013110130048462244
2,4,-0.0011918300044056586
2,5,0.010726470039650927
2,6,-0.18658152110908571
2,7,-0.088380720525356407
2,8,0.0098200800583729334
2,9,-0.10802088064210227
2,10,-0.0098200800583729334
2,11,0.088380720525356407
2,12,0.045331115270953036
2,13,0.021472633549398809
2,14,-0.002385848172155423
2,15,0.026244329893709655
2,16,0.002385848172155423
2,17,-0.021472633549398809
2,18,-0.18904259282254832
2,19,-0.089546491336996575
2,20,0.0099496101485551762
2,21,-0.10944571163410693
2,22,-0.0099496101485551762
2,23,0.089546491336996575
3,0,-0.047673200176226338
3,1,-0.39280320233491733
3,2,0.095433926886216922
3,3,-0.39798440594220702
4,0,-0.036888422440304637
4,1,0.015932651855767373
4,2,-0.035489312122646381
4,3,-0.011002786142986732
4,4,-0.019490095865697166
4,5,0.0084180588792107606
4,6,-0.018750872217356725
4,7,-0.0058133512503443568
4,8,-0.060018135468326822
4,9,0.025922714884232333
4,10,-0.057741757487776532
4,11,-0.017901733540583293
4,12,0.2939912367701174
4,13,-0.12697913638580835
4,14,0.28284068747970476
4,15,0.087689374934057665
4,16,-0.075727571204387709
4,17,0.032707851083489697
4,18,-0.072855363091538311
4,19,-0.022587419465769847
4,20,-0.058026513660552094
4,21,0.025062504151637861
4,22,-0.055825674248359942
4,23,-0.017307688380096539
4,24,-0.043840498130848921
4,25,0.018935355531470317
4,26,-0.042177708312026801
4,27,-0.013076396154276875
5,0,0.10159197187683272
5,1,0.053676387876681678
5,2,0.16529198938949913
5,3,-0.8096618798572397
5,4,0.20855631049408113
5,5,0.15980699509319476
5,6,0.12073822512695016
